seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13657,2025,KSA.1,817,22774,8,0,3,3,1,0,0,1,0,20,55,9,0,0,4,2025-11-13 06:04:40
13657,2025,KSA.1,2276,46858,5,0,1,3,0,0,0,0,0,10,17,3,0,0,8,2025-11-13 06:04:38
13657,2025,KSA.1,21828,67003,7,0,13,4,2,0,0,0,0,3,16,1,0,0,12,2025-11-13 06:04:42
13657,2025,KSA.1,2276,76717,8,0,7,6,1,0,0,0,0,3,8,0,0,0,14,2025-11-13 06:04:38
13657,2025,KSA.1,8363,98342,8,0,5,10,0,0,0,0,0,6,17,3,0,0,16,2025-11-13 06:04:36
13657,2025,KSA.1,21966,108251,8,0,5,5,1,0,0,3,0,2,9,0,0,0,17,2025-11-13 06:04:40
13657,2025,KSA.1,130899,118688,7,0,7,7,0,1,0,1,0,5,15,2,0,0,8,2025-11-13 06:04:42
13657,2025,KSA.1,21827,123605,8,0,5,3,0,0,0,0,0,2,5,1,0,0,10,2025-11-13 06:04:37
13657,2025,KSA.1,13033,123988,7,1,3,1,1,0,0,0,0,1,3,1,0,0,17,2025-11-13 06:04:36
13657,2025,KSA.1,130899,131752,8,0,12,7,2,0,0,3,0,8,15,4,0,0,10,2025-11-13 06:04:42
13657,2025,KSA.1,22022,140079,8,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2025-11-13 06:04:40
13657,2025,KSA.1,21829,140195,8,0,0,2,0,0,0,1,0,0,0,0,0,27,11,2025-11-13 06:04:38
13657,2025,KSA.1,21829,141188,8,0,15,10,1,0,0,1,0,11,21,9,0,0,10,2025-11-13 06:04:38
13657,2025,KSA.1,130899,141213,6,0,2,2,4,0,0,0,0,1,5,1,0,0,8,2025-11-13 06:04:42
13657,2025,KSA.1,21829,142291,8,0,5,7,1,0,0,1,0,0,3,0,0,0,11,2025-11-13 06:04:38
13657,2025,KSA.1,21964,146710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:04:37
13657,2025,KSA.1,929,150312,7,0,5,1,3,1,0,1,0,0,3,0,0,0,6,2025-11-13 06:04:38
13657,2025,KSA.1,13033,153715,6,0,1,0,0,1,0,0,0,0,0,0,0,19,11,2025-11-13 06:04:36
13657,2025,KSA.1,21965,157292,8,0,0,0,0,0,0,0,0,0,0,0,0,23,17,2025-11-13 06:04:41
13657,2025,KSA.1,22022,157710,8,0,7,4,1,0,0,0,0,0,4,0,0,0,7,2025-11-13 06:04:40
13657,2025,KSA.1,22023,157826,1,1,1,0,0,0,0,0,0,2,2,1,0,0,1,2025-09-01 05:08:04
13657,2025,KSA.1,8363,159195,8,0,10,4,3,0,0,0,0,1,10,0,0,0,16,2025-11-13 06:04:36
13657,2025,KSA.1,21827,159327,8,0,19,26,1,0,0,0,0,2,7,0,0,0,10,2025-11-13 06:04:37
13657,2025,KSA.1,21829,160020,8,0,0,20,0,0,0,8,0,9,24,4,0,0,9,2025-11-13 06:04:38
13657,2025,KSA.1,929,163850,6,0,6,8,0,0,0,4,0,4,10,2,0,0,8,2025-11-13 06:04:38
13657,2025,KSA.1,21829,163852,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:04:38
13657,2025,KSA.1,8346,163940,8,0,4,6,1,0,0,2,0,2,15,1,0,0,4,2025-11-13 06:04:36
13657,2025,KSA.1,817,165562,8,0,12,6,1,0,0,0,0,2,5,1,0,0,4,2025-11-13 06:04:40
13657,2025,KSA.1,21964,165799,8,0,0,2,1,0,0,0,0,0,0,0,0,20,13,2025-11-13 06:04:37
13657,2025,KSA.1,817,169797,8,0,7,14,3,0,0,4,0,10,25,2,0,0,4,2025-11-13 06:04:40
13657,2025,KSA.1,929,171877,7,2,3,0,1,0,0,0,0,0,0,0,0,0,5,2025-11-04 06:11:35
13657,2025,KSA.1,22022,171877,8,2,3,0,1,0,0,0,0,0,0,0,0,0,5,2025-11-13 06:04:40
13657,2025,KSA.1,21829,172190,4,4,2,0,1,0,0,0,0,0,0,0,0,0,3,2025-11-13 06:04:38
13657,2025,KSA.1,2276,173556,8,0,6,7,0,0,0,0,0,1,3,1,0,0,14,2025-11-13 06:04:38
13657,2025,KSA.1,21966,174616,8,0,2,10,1,0,0,1,0,2,6,1,0,0,17,2025-11-13 06:04:40
13657,2025,KSA.1,793,174893,8,1,8,17,2,0,0,1,0,11,22,4,0,0,8,2025-11-13 06:04:41
13657,2025,KSA.1,21966,174978,8,0,7,19,1,0,1,0,0,2,5,0,0,0,17,2025-11-13 06:04:40
13657,2025,KSA.1,929,175149,8,0,0,1,0,0,0,0,0,0,0,0,0,16,8,2025-11-13 06:04:38
13657,2025,KSA.1,22023,175968,6,1,4,3,0,0,0,0,0,2,6,0,0,0,11,2025-11-13 06:04:39
13657,2025,KSA.1,2276,176287,7,0,8,10,0,1,0,1,0,0,1,0,0,0,11,2025-11-13 06:04:38
13657,2025,KSA.1,929,176399,2,0,5,4,0,0,0,0,0,1,4,0,0,0,2,2025-11-13 06:04:38
13657,2025,KSA.1,130899,176562,4,0,7,0,2,0,1,1,0,1,2,0,0,0,5,2025-11-13 06:04:42
13657,2025,KSA.1,2276,177897,6,3,6,1,1,0,0,0,0,1,3,0,0,0,3,2025-11-13 06:04:38
13657,2025,KSA.1,817,178383,7,0,8,1,1,0,0,1,0,2,2,0,0,0,3,2025-11-13 06:04:40
13657,2025,KSA.1,793,178673,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2025-09-09 05:09:23
13657,2025,KSA.1,8363,180051,3,1,5,0,1,0,0,0,0,1,2,0,0,0,4,2025-11-13 06:04:36
13657,2025,KSA.1,8346,180639,7,1,3,6,0,0,0,0,0,8,20,5,0,0,4,2025-11-13 06:04:36
13657,2025,KSA.1,21827,180698,6,0,5,1,0,0,0,0,0,0,0,0,0,0,6,2025-11-13 06:04:37
13657,2025,KSA.1,21965,181748,8,0,6,10,0,0,0,2,0,7,15,2,0,0,17,2025-11-13 06:04:41
13657,2025,KSA.1,817,184012,8,0,2,6,0,0,0,5,0,11,26,3,0,0,3,2025-11-13 06:04:40
13657,2025,KSA.1,793,185520,3,0,1,2,0,0,0,1,0,1,8,0,0,0,4,2025-11-13 06:04:41
13657,2025,KSA.1,2276,185636,2,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2025-11-13 06:04:38
13657,2025,KSA.1,21827,186840,8,0,9,11,1,0,0,3,0,5,14,2,0,0,9,2025-11-13 06:04:37
13657,2025,KSA.1,18459,186952,7,0,3,4,1,0,0,0,0,0,2,0,0,0,12,2025-11-13 06:04:41
13657,2025,KSA.1,21964,189615,8,2,5,7,0,0,0,2,0,2,8,0,0,0,10,2025-11-13 06:04:37
13657,2025,KSA.1,22028,189897,8,0,11,9,0,0,0,0,0,0,3,0,0,0,15,2025-11-13 06:04:39
13657,2025,KSA.1,793,190977,8,0,3,4,1,0,1,0,0,2,8,0,0,0,10,2025-11-13 06:04:41
13657,2025,KSA.1,22028,191507,8,0,5,0,0,0,1,0,0,1,4,0,0,0,15,2025-11-13 06:04:39
13657,2025,KSA.1,21827,191806,8,0,0,2,0,0,0,0,0,0,0,0,0,25,10,2025-11-13 06:04:37
13657,2025,KSA.1,2276,192126,5,0,1,0,0,1,0,0,0,0,0,0,0,11,9,2025-11-13 06:04:38
13657,2025,KSA.1,18459,192180,8,0,13,14,1,0,0,2,0,10,25,6,0,0,9,2025-11-13 06:04:41
13657,2025,KSA.1,130899,194543,7,1,2,12,0,0,0,1,0,4,14,2,0,0,11,2025-11-13 06:04:42
13657,2025,KSA.1,793,194557,6,0,9,1,0,0,0,1,0,3,10,1,0,0,5,2025-11-13 06:04:41
13657,2025,KSA.1,8346,194711,8,0,14,5,0,0,0,0,0,6,14,0,0,0,5,2025-11-13 06:04:36
13657,2025,KSA.1,21828,194715,3,1,4,2,2,0,0,0,0,1,5,0,0,0,4,2025-11-13 06:04:42
13657,2025,KSA.1,8363,194970,8,0,0,1,1,0,0,0,0,0,0,0,0,27,16,2025-11-13 06:04:36
13657,2025,KSA.1,22022,195753,5,0,5,0,0,0,0,0,0,0,3,0,0,0,6,2025-11-13 06:04:40
13657,2025,KSA.1,8363,196576,3,1,1,6,0,1,0,1,0,2,5,1,0,0,3,2025-11-13 06:04:36
13657,2025,KSA.1,13033,196613,8,0,9,11,2,0,0,0,0,8,25,2,0,0,19,2025-11-13 06:04:36
13657,2025,KSA.1,21966,196748,7,0,13,9,1,1,0,0,0,3,6,2,0,0,14,2025-11-13 06:04:40
13657,2025,KSA.1,793,196826,6,2,4,6,0,0,0,0,0,1,5,0,0,0,5,2025-11-13 06:04:41
13657,2025,KSA.1,817,196881,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2025-10-07 05:20:52
13657,2025,KSA.1,22022,196881,5,0,6,4,1,0,0,0,0,0,1,0,0,0,3,2025-11-13 06:04:40
13657,2025,KSA.1,21965,197151,8,0,5,3,0,0,0,0,0,2,8,0,0,0,17,2025-11-13 06:04:41
13657,2025,KSA.1,21965,198849,8,0,6,3,1,0,0,0,0,2,3,1,0,0,17,2025-11-13 06:04:41
13657,2025,KSA.1,22023,199059,5,0,5,1,0,1,0,1,0,1,1,1,0,0,13,2025-11-13 06:04:39
13657,2025,KSA.1,793,199072,7,0,0,4,0,0,0,0,0,0,0,0,0,14,6,2025-11-13 06:04:41
13657,2025,KSA.1,22022,200192,7,0,13,3,2,0,0,1,0,0,2,0,0,0,6,2025-11-13 06:04:40
13657,2025,KSA.1,8363,200986,8,1,6,12,2,0,0,0,0,0,4,0,0,0,14,2025-11-13 06:04:36
13657,2025,KSA.1,929,202191,7,0,5,6,0,0,0,3,0,9,14,3,0,0,4,2025-11-13 06:04:38
13657,2025,KSA.1,2276,202276,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:04:38
13657,2025,KSA.1,21966,202301,4,0,0,0,0,0,0,0,0,0,0,0,0,17,12,2025-11-13 06:04:40
13657,2025,KSA.1,8363,206072,7,0,7,4,3,0,0,0,0,1,4,0,0,0,15,2025-11-13 06:04:36
13657,2025,KSA.1,21964,206547,8,0,17,17,2,0,0,0,0,5,14,3,0,0,9,2025-11-13 06:04:37
13657,2025,KSA.1,21829,206928,7,0,11,11,2,0,0,0,0,3,11,1,0,0,6,2025-11-13 06:04:38
13657,2025,KSA.1,13033,207040,6,1,4,2,1,0,0,0,0,8,18,0,0,0,12,2025-11-13 06:04:36
13657,2025,KSA.1,8363,207454,8,0,5,7,1,0,0,0,0,0,1,0,0,0,16,2025-11-13 06:04:36
13657,2025,KSA.1,2276,207542,5,0,6,4,2,0,0,1,0,5,10,3,0,0,7,2025-11-13 06:04:38
13657,2025,KSA.1,929,208128,8,0,2,4,2,0,1,0,0,5,13,3,0,0,7,2025-11-13 06:04:38
13657,2025,KSA.1,21966,209584,7,0,4,7,1,0,0,1,0,6,10,1,0,0,11,2025-11-13 06:04:40
13657,2025,KSA.1,929,211141,7,0,9,11,0,0,0,1,0,8,20,0,0,0,8,2025-11-13 06:04:38
13657,2025,KSA.1,21828,211667,8,0,10,22,2,0,0,2,0,6,17,4,0,0,15,2025-11-13 06:04:42
13657,2025,KSA.1,22022,213056,8,0,8,9,2,0,0,2,0,1,3,1,0,0,7,2025-11-13 06:04:40
13657,2025,KSA.1,22023,214690,7,0,5,14,0,0,0,1,0,4,14,0,0,0,12,2025-11-13 06:04:39
13657,2025,KSA.1,21827,215358,7,2,11,5,1,0,0,0,0,3,13,2,0,0,6,2025-11-13 06:04:37
13657,2025,KSA.1,18459,215452,7,0,7,13,0,0,0,5,0,4,9,2,0,0,5,2025-11-13 06:04:41
13657,2025,KSA.1,21828,215956,8,0,1,2,0,0,0,0,0,0,0,0,0,21,17,2025-11-13 06:04:42
13657,2025,KSA.1,21964,216955,7,3,6,3,1,0,0,0,0,4,15,1,0,0,6,2025-11-13 06:04:37
13657,2025,KSA.1,22023,217254,7,0,3,8,2,0,0,0,0,1,3,0,0,0,15,2025-11-13 06:04:39
13657,2025,KSA.1,21965,218438,8,2,13,11,1,0,0,0,0,7,15,4,0,0,15,2025-11-13 06:04:41
13657,2025,KSA.1,793,218857,8,0,6,4,0,0,0,0,0,2,8,0,0,0,10,2025-11-13 06:04:41
13657,2025,KSA.1,18459,219003,7,0,15,2,4,0,0,0,0,0,3,0,0,0,8,2025-11-13 06:04:41
13657,2025,KSA.1,21829,219233,8,0,1,8,1,0,0,2,0,0,3,0,0,0,11,2025-11-13 06:04:38
13657,2025,KSA.1,22023,222167,7,0,0,0,1,0,0,0,0,0,0,0,0,28,17,2025-11-13 06:04:39
13657,2025,KSA.1,18459,224789,8,0,10,5,0,0,0,0,0,1,3,0,0,0,12,2025-11-13 06:04:41
13657,2025,KSA.1,21828,228516,7,0,9,3,1,0,0,0,0,2,8,0,0,0,12,2025-11-13 06:04:42
13657,2025,KSA.1,22028,228736,8,0,4,10,3,0,0,0,0,1,2,1,0,0,14,2025-11-13 06:04:39
13657,2025,KSA.1,13033,230430,8,0,10,3,4,0,1,0,0,0,2,0,0,0,19,2025-11-13 06:04:36
13657,2025,KSA.1,22023,232461,5,0,4,3,1,1,0,0,0,0,4,0,0,0,10,2025-11-13 06:04:39
13657,2025,KSA.1,13033,232639,7,0,9,17,1,1,0,3,0,11,25,1,0,0,18,2025-11-13 06:04:36
13657,2025,KSA.1,22022,233075,6,0,3,11,0,0,0,0,0,10,21,6,0,0,5,2025-11-13 06:04:40
13657,2025,KSA.1,929,233621,7,0,6,10,2,0,0,0,0,5,11,3,0,0,5,2025-11-13 06:04:38
13657,2025,KSA.1,21966,234395,8,1,3,10,0,0,0,1,0,3,7,0,0,0,15,2025-11-13 06:04:40
13657,2025,KSA.1,8363,236088,6,0,9,3,2,0,0,0,0,1,2,0,0,0,11,2025-11-13 06:04:36
13657,2025,KSA.1,8346,238362,8,0,0,0,1,0,0,0,0,0,0,0,0,14,5,2025-11-13 06:04:36
13657,2025,KSA.1,21829,239483,8,0,9,3,2,0,0,0,0,5,12,3,0,0,7,2025-11-13 06:04:38
13657,2025,KSA.1,13033,240451,7,0,10,7,0,0,0,1,0,7,13,3,0,0,17,2025-11-13 06:04:36
13657,2025,KSA.1,2276,241116,7,0,9,10,2,0,0,1,0,3,15,1,0,0,13,2025-11-13 06:04:38
13657,2025,KSA.1,22028,243599,8,0,10,12,2,0,0,2,0,2,8,2,0,0,15,2025-11-13 06:04:39
13657,2025,KSA.1,8363,243630,8,2,5,2,0,0,0,0,0,2,3,0,0,0,10,2025-11-13 06:04:36
13657,2025,KSA.1,21965,243928,4,2,0,1,0,0,0,0,0,0,0,0,0,0,4,2025-11-13 06:04:41
13657,2025,KSA.1,21828,243930,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-13 06:04:42
13657,2025,KSA.1,13033,250566,8,0,10,20,3,0,0,0,0,3,6,1,0,0,19,2025-11-13 06:04:36
13657,2025,KSA.1,130899,251569,5,4,1,0,0,0,0,0,0,1,1,0,0,0,3,2025-11-13 06:04:42
13657,2025,KSA.1,22028,251570,8,8,3,0,0,0,0,0,0,0,1,0,0,0,2,2025-11-13 06:04:39
